2,"Banana","Add a whimsical touch to your decor with our lifelike banana ornament. Handcrafted with care and attention to detail, it brings a burst of color to any room.","10 in * 6 in","Eco-friendly bamboo silk","fruit",20,"trending","available"
3,"Strawberry Ornament","Delight in the sweetness of our strawberry ornament, meticulously crafted to resemble the real fruit. Its vibrant colors and lifelike appearance make it a charming addition to your home decor.","10 in * 6 in","Organic linen blend","fruit",25,"trending","available"
4,"Mushroom Bag","Elevate your style with our enchanting mushroom bag, a whimsical accessory handcrafted with attention to detail. Its unique design and spacious interior make it both practical and delightful.","15 in * 15 in","Sustainable hemp blend","other",150,"trending","available"
5,"Rabbit Heart","Embrace the charm of our rabbit heart ornament, intricately crafted to capture the essence of whimsy. Perfect for adding a touch of personality to any space, it's a must-have for bunny lovers.","10 in * 6 in","Recycled polyester","animal",20,"popular","available"
6,"Dinosaur","Journey back in time with our adorable dinosaur ornament, handcrafted with intricate detailing. Whether for play or display, it's sure to spark the imagination of both young and old.","10 in * 6 in","Vegan-friendly acrylic","animal",25,"popular","available"
7,"Chili Pepper Ornament","Spice up your decor with our chili pepper ornament, meticulously crafted to resemble the real thing. Vibrant and eye-catching, it adds a playful twist to any space.","15 in * 15 in","Organic cotton","other",150,"popular","available"
8,"Corgi","Add a touch of canine charm to your surroundings with our corgi ornament, lovingly handcrafted to capture the essence of this beloved breed. Perfect for dog enthusiasts and decor aficionados alike.","10 in * 6 in","Fair trade alpaca wool","animal",20,"popular","available"
9,"Turtle","Dive into serenity with our turtle ornament, intricately crafted to bring a sense of tranquility to your space. Its lifelike details and soothing hues make it a delightful addition to any collection.","10 in * 6 in","Recycled PET","animal",15,"none","available"
10,"Beanie Hat","Stay cozy in style with our fashionable beanie hat, expertly handcrafted for comfort and warmth. Versatile and chic, it's the perfect accessory for chilly days.","10 in * 6 in","Sustainable bamboo","other
",25,"none","available"
11,"Pikachu Keychain","Channel your inner trainer with our adorable Pikachu keychain, perfect for fans of the iconic Pokémon series. Compact and charming, it adds a playful touch to your everyday essentials.","1.5 inch * 2 inch","Ethically sourced merino wool","character",15,"none","available"
12,"Pickle","Add a dash of whimsy to your decor with our pickle ornament, meticulously crafted for a lifelike appearance. Quirky and fun, it's sure to spark conversations and smiles.","2 inch * 5 inch","Upcycled denim","other",30,"none","available"
13,"Miffy","Carry a touch of childhood nostalgia wherever you go with our Miffy keychain, lovingly handcrafted to capture the beloved character's charm. Cute and compact, it's a delightful addition to any keyring.","2 inch * 4 inch","Organic bamboo","character",15,"none","available"
14,"Melody","Let music accompany you on your adventures with our Melody keychain, featuring the beloved character in miniature form. Playful and endearing, it's a whimsical accessory for music lovers.","2 inch * 4 inch","Biodegradable jute","character",15,"none","available"
15,"Flower Blanket","Transport yourself to a garden oasis with our exquisite flower blanket, meticulously crafted to evoke the beauty of blooming flowers. Luxuriously soft and irresistibly cozy, it's a statement piece for any home.","15 in * 15 in","Hand-spun silk","other",150,"none","soldout"
